t_rel_s,d2
22.0542,254
22.0842,254
22.0941,254
22.1241,254
22.1437,254
22.1564,254
22.1742,254
22.2041,254
22.2141,254
22.2438,254
22.2543,254
22.2840,254
22.2942,254
22.3292,254
22.3344,254
22.3544,254
22.3840,254
22.3939,254
22.4294,254
22.4341,254
22.4638,254
22.4842,254
22.5091,254
22.5239,254
22.5491,254
22.5638,254
22.5744,254
22.6038,254
22.6143,254
22.6439,254
22.6565,254
22.6840,254
22.7040,254
22.7142,254
22.7341,254
22.7542,254
22.7841,254
22.7943,254
22.8292,254
22.8342,254
22.8690,254
22.8842,254
22.8921,254
22.9240,254
22.9342,254
22.9639,254
22.9742,254
23.0058,254
23.0240,254
23.0436,254
23.0563,254
23.0741,254
23.1040,254
23.1145,254
23.1437,254
23.1542,254
23.1842,254
23.1941,254
23.2292,254
23.2343,254
23.2542,254
23.2840,254
23.2942,254
23.3295,254
23.3343,254
23.3639,254
23.3838,254
23.4090,254
23.4241,254
23.4490,254
23.4638,254
23.4744,254
23.5038,254
23.5142,254
23.5438,254
23.5565,254
23.5743,254
23.6039,254
23.6142,254
23.6438,254
23.6541,254
23.6841,254
23.6942,254
23.7294,254
23.7341,254
23.7690,254
23.7841,254
23.7943,254
23.8239,254
23.8341,254
23.8638,254
23.8841,254
23.9058,254
23.9239,254
23.9491,254
23.9563,254
23.9741,254
24.0039,254
24.0142,254
24.0435,254
24.0541,254
24.0840,254
24.0961,254
24.1239,254
24.1342,254
24.1636,254
24.1742,254
24.2059,254
24.2240,254
24.2436,254
24.2564,254
24.2739,254
24.3040,254
24.3141,254
24.3437,254
24.3544,254
24.3839,254
24.3942,254
24.4294,254
24.4343,254
24.4543,254
24.4840,254
24.4942,254
24.5294,254
24.5341,254
24.5637,254
24.5841,254
24.6092,254
24.6238,254
24.6491,254
24.6637,254
24.6743,254
24.7038,254
24.7142,254
24.7437,254
24.7565,254
24.7840,254
24.8039,254
24.8142,254
24.8341,254
24.8541,254
24.8840,254
24.8942,254
24.9293,254
24.9341,254
24.9692,254
24.9841,254
25.0090,254
25.0239,254
25.0342,254
25.0638,254
25.0741,254
25.1059,254
25.1239,254
25.1435,254
25.1563,254
25.1742,253
25.2040,251
25.2143,251
25.2436,250
25.2542,248
25.2841,248
25.2941,247
25.3294,247
25.3342,245
25.3543,244
25.3839,242
25.3940,242
25.4295,241
25.4343,239
25.4636,238
25.4840,236
25.5092,234
25.5240,233
25.5491,233
25.5636,231
25.5742,230
25.6038,230
25.6141,228
25.6437,227
25.6565,227
25.6743,225
25.7038,224
25.7142,224
25.7436,222
25.7541,222
25.7839,221
25.7942,219
25.8295,217
25.8341,216
25.8692,214
25.8840,214
25.8943,214
25.9238,214
25.9342,213
25.9637,211
25.9840,211
26.0058,210
26.0238,208
26.0492,207
26.0563,205
26.0741,204
26.0957,202
26.1294,201
26.1342,201
26.1693,199
26.1838,199
26.2092,199
26.2239,199
26.2343,199
26.2635,199
26.2738,197
26.3059,196
26.3239,196
26.3436,194
26.3560,193
26.3736,191
26.4036,191
26.4135,190
26.4436,190
26.4542,190
26.4838,188
26.4941,188
26.5295,187
26.5343,185
26.5522,184
26.5839,184
26.5934,182
26.6295,182
26.6341,182
26.6636,180
26.6839,180
26.7057,179
26.7238,177
26.7494,176
26.7636,176
26.7743,176
26.8037,176
26.8142,176
26.8436,174
26.8541,174
26.8839,173
26.9038,171
26.9142,171
26.9341,170
26.9541,170
26.9839,168
26.9943,168
27.0294,167
27.0342,165
27.0693,164
27.0840,164
27.1093,162
27.1237,160
27.1342,160
27.1634,159
27.1741,159
27.2059,157
27.2238,156
27.2434,154
27.2564,154
27.2747,153
27.3038,153
27.3141,151
27.3436,150
27.3542,148
27.3839,148
27.3941,147
27.4295,147
27.4342,145
27.4543,145
27.4838,143
27.4942,143
27.5296,142
27.5343,140
27.5635,140
27.5839,139
27.6094,139
27.6236,139
27.6492,137
27.6635,137
27.6742,137
27.7036,137
27.7141,136
27.7435,134
27.7565,134
27.7726,133
27.8037,133
27.8142,133
27.8436,133
27.8541,131
27.8838,131
27.8942,130
27.9294,128
27.9341,128
27.9693,128
27.9838,127
27.9942,127
28.0237,125
28.0342,123
28.0635,123
28.0742,123
28.1032,122
28.1147,120
28.1341,120
28.1542,120
28.1839,120
28.1941,120
28.2295,119
28.2342,117
28.2696,117
28.2837,117
28.3093,116
28.3237,116
28.3342,116
28.3632,114
28.3736,114
28.4060,114
28.4239,113
28.4434,113
28.4564,111
28.4742,111
28.5042,110
28.5142,108
28.5434,108
28.5542,108
28.5837,108
28.5941,106
28.6297,106
28.6342,105
28.6693,103
28.6837,103
28.6942,102
28.7297,102
28.7341,100
28.7634,100
28.7838,99
28.8057,99
28.8236,97
28.8494,97
28.8635,96
28.8743,96
28.9037,94
28.9142,94
28.9435,93
28.9540,93
28.9838,91
29.0037,91
29.0142,89
29.0340,89
29.0541,88
29.0838,88
29.0943,86
29.1296,86
29.1342,85
29.1695,85
29.1838,83
29.2093,83
29.2236,82
29.2342,80
29.2634,80
29.2745,79
29.3058,79
29.3237,77
29.3433,77
29.3560,76
29.3735,74
29.4038,74
29.4135,73
29.4434,73
29.4541,73
29.4838,71
29.4940,71
29.5296,71
29.5342,69
